Time [s], Analyzer Name, Decoded Protocol Result
0.000001760000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.000005480000000,SPI,MOSI: '12' (0x0C);  MISO: '0' (0x00)
0.000038000000000,SPI,MOSI: '184' (0xB8);  MISO: } (0x7D)
0.000041680000000,SPI,MOSI: '5' (0x05);  MISO: '5' (0x05)
0.000046200000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000050760000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000055280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000059800000000,SPI,MOSI: '4' (0x04);  MISO: '4' (0x04)
0.000070880000000,SPI,MOSI: '128' (0x80);  MISO: } (0x7D)
0.000074560000000,SPI,MOSI: } (0x7D);  MISO: } (0x7D)
0.000079120000000,SPI,MOSI: ( (0x28);  MISO: } (0x7D)
0.000083640000000,SPI,MOSI: '12' (0x0C);  MISO: } (0x7D)
0.000088160000000,SPI,MOSI: \n (0x0A);  MISO: } (0x7D)
0.000092720000000,SPI,MOSI: '187' (0xBB);  MISO: } (0x7D)
0.000711040000000,SPI,MOSI: '135' (0x87);  MISO: '187' (0xBB)
0.000714760000000,SPI,MOSI: '230' (0xE6);  MISO: '227' (0xE3)
0.000719280000000,SPI,MOSI: ' ' (0x20);  MISO: @ (0x40)
0.000729760000000,SPI,MOSI: '174' (0xAE);  MISO: '151' (0x97)
0.000733440000000,SPI,MOSI: '136' (0x88);  MISO: '144' (0x90)
0.000738000000000,SPI,MOSI: } (0x7D);  MISO: '133' (0x85)
0.000742520000000,SPI,MOSI: ( (0x28);  MISO: '133' (0x85)
0.000747040000000,SPI,MOSI: '12' (0x0C);  MISO: '133' (0x85)
0.000751600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000756120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000760640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000765200000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000769720000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000774240000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000778760000000,SPI,MOSI: '7' (0x07);  MISO: '5' (0x05)
0.000792240000000,SPI,MOSI: '129' (0x81);  MISO: '151' (0x97)
0.000795960000000,SPI,MOSI: '144' (0x90);  MISO: '12' (0x0C)
0.000806440000000,SPI,MOSI: '137' (0x89);  MISO: } (0x7D)
0.000810120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000820600000000,SPI,MOSI: '165' (0xA5);  MISO: } (0x7D)
0.000824280000000,SPI,MOSI: '134' (0x86);  MISO: '6' (0x06)
0.009789880000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.009793560000000,SPI,MOSI: '0' (0x00);  MISO: '144' (0x90)
0.009798080000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009802640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009807160000000,SPI,MOSI: '210' (0xD2);  MISO: '210' (0xD2)
0.009811680000000,SPI,MOSI: '14' (0x0E);  MISO: '14' (0x0E)
0.009816200000000,SPI,MOSI: E (0x45);  MISO: E (0x45)
0.009820720000000,SPI,MOSI: '227' (0xE3);  MISO: '230' (0xE6)
0.009825280000000,SPI,MOSI: @ (0x40);  MISO: ' ' (0x20)
0.009829800000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009840280000000,SPI,MOSI: '165' (0xA5);  MISO: } (0x7D)
0.009843960000000,SPI,MOSI: '6' (0x06);  MISO: '134' (0x86)
0.009854440000000,SPI,MOSI: '174' (0xAE);  MISO: } (0x7D)
0.009858160000000,SPI,MOSI: '144' (0x90);  MISO: '136' (0x88)
0.009862680000000,SPI,MOSI: '133' (0x85);  MISO: } (0x7D)
0.009867200000000,SPI,MOSI: '133' (0x85);  MISO: ( (0x28)
0.009871720000000,SPI,MOSI: '133' (0x85);  MISO: '12' (0x0C)
0.009876280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009880800000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009885320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009889840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009894360000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009898920000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009903440000000,SPI,MOSI: '5' (0x05);  MISO: '7' (0x07)
