Time [s], Analyzer Name, Decoded Protocol Result
0.000001800000000,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.000005480000000,SPI,MOSI: '0' (0x00);  MISO: '4' (0x04)
0.000010000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000014520000000,SPI,MOSI: '0' (0x00);  MISO: '26' (0x1A)
0.000019080000000,SPI,MOSI: '210' (0xD2);  MISO: '11' (0x0B)
0.000023600000000,SPI,MOSI: '14' (0x0E);  MISO: '0' (0x00)
0.000028120000000,SPI,MOSI: E (0x45);  MISO: R (0x52)
0.000032640000000,SPI,MOSI: '229' (0xE5);  MISO: '228' (0xE4)
0.000037200000000,SPI,MOSI: @ (0x40);  MISO: '192' (0xC0)
0.000041720000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000046240000000,SPI,MOSI: A (0x41);  MISO: A (0x41)
0.000050760000000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.000055280000000,SPI,MOSI: '0' (0x00);  MISO: '2' (0x02)
0.000059840000000,SPI,MOSI: '162' (0xA2);  MISO: '146' (0x92)
0.000064360000000,SPI,MOSI: '245' (0xF5);  MISO: '245' (0xF5)
0.000068880000000,SPI,MOSI: ' ' (0x20);  MISO: ' ' (0x20)
0.000073400000000,SPI,MOSI: ! (0x21);  MISO: # (0x23)
0.000077920000000,SPI,MOSI: '159' (0x9F);  MISO: '159' (0x9F)
0.000082480000000,SPI,MOSI: '15' (0x0F);  MISO: \t (0x09)
0.000087000000000,SPI,MOSI: '27' (0x1B);  MISO: '26' (0x1A)
0.000091520000000,SPI,MOSI: @ (0x40);  MISO: @ (0x40)
0.000096040000000,SPI,MOSI: '176' (0xB0);  MISO: '176' (0xB0)
0.000100560000000,SPI,MOSI: { (0x7B);  MISO: { (0x7B)
0.000105080000000,SPI,MOSI: '155' (0x9B);  MISO: '155' (0x9B)
0.000109640000000,SPI,MOSI: '137' (0x89);  MISO: '0' (0x00)
0.000114160000000,SPI,MOSI: @ (0x40);  MISO: '134' (0x86)
0.000118680000000,SPI,MOSI: @ (0x40);  MISO: '138' (0x8A)
0.000123200000000,SPI,MOSI: @ (0x40);  MISO: @ (0x40)
0.000127720000000,SPI,MOSI: '128' (0x80);  MISO: '128' (0x80)
0.000132240000000,SPI,MOSI: '6' (0x06);  MISO: '6' (0x06)
0.000136800000000,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
0.000141320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000145840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000150360000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000154880000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000159440000000,SPI,MOSI: \n (0x0A);  MISO: '0' (0x00)
0.000163960000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.000168480000000,SPI,MOSI: '6' (0x06);  MISO: '0' (0x00)
0.000173000000000,SPI,MOSI: '247' (0xF7);  MISO: '5' (0x05)
0.000177520000000,SPI,MOSI: '128' (0x80);  MISO: '128' (0x80)
0.000182040000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000186600000000,SPI,MOSI: '228' (0xE4);  MISO: '255' (0xFF)
0.000191120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000195640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000200160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000204680000000,SPI,MOSI: '3' (0x03);  MISO: '3' (0x03)
0.000209200000000,SPI,MOSI: '144' (0x90);  MISO: '152' (0x98)
0.000213760000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000218280000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000222800000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000227320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000231840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000236360000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000240880000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000245400000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000249920000000,SPI,MOSI: '0' (0x00);  MISO: '16' (0x10)
0.000254440000000,SPI,MOSI: '5' (0x05);  MISO: @ (0x40)
0.000258960000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000263480000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000268000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000272520000000,SPI,MOSI: '4' (0x04);  MISO: '15' (0x0F)
0.000277040000000,SPI,MOSI: '0' (0x00);  MISO: '2' (0x02)
0.000281560000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000286080000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000290600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000295120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000299640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000304160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000308680000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000313200000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000317720000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000322240000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000326760000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000331280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000335840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000340320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000344840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000349400000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000353920000000,SPI,MOSI: '0' (0x00);  MISO: '1' (0x01)
0.000358440000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000368920000000,SPI,MOSI: '216' (0xD8);  MISO: '0' (0x00)
0.000372600000000,SPI,MOSI: - (0x2D);  MISO: '27' (0x1B)
0.000429920000000,SPI,MOSI: '135' (0x87);  MISO: '0' (0x00)
0.000433640000000,SPI,MOSI: '227' (0xE3);  MISO: '228' (0xE4)
0.000438160000000,SPI,MOSI: @ (0x40);  MISO: '192' (0xC0)
0.000442680000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
