Time [s], Analyzer Name, Decoded Protocol Result
0.000001760000000,SPI,MOSI: '135' (0x87);  MISO: } (0x7D)
0.000005480000000,SPI,MOSI: '229' (0xE5);  MISO: '226' (0xE2)
0.000010000000000,SPI,MOSI: '192' (0xC0);  MISO: ' ' (0x20)
0.000014560000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000039480000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.000043200000000,SPI,MOSI: '12' (0x0C);  MISO: '0' (0x00)
0.000075760000000,SPI,MOSI: '184' (0xB8);  MISO: } (0x7D)
0.000079440000000,SPI,MOSI: '5' (0x05);  MISO: '5' (0x05)
0.000083960000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000088520000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000093040000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000097560000000,SPI,MOSI: '4' (0x04);  MISO: '4' (0x04)
0.000108680000000,SPI,MOSI: '128' (0x80);  MISO: } (0x7D)
0.000112360000000,SPI,MOSI: } (0x7D);  MISO: } (0x7D)
0.000116920000000,SPI,MOSI: ( (0x28);  MISO: } (0x7D)
0.000121440000000,SPI,MOSI: '12' (0x0C);  MISO: } (0x7D)
0.000125960000000,SPI,MOSI: '2' (0x02);  MISO: } (0x7D)
0.000130520000000,SPI,MOSI: '179' (0xB3);  MISO: } (0x7D)
0.000748960000000,SPI,MOSI: '135' (0x87);  MISO: '179' (0xB3)
0.000752640000000,SPI,MOSI: '227' (0xE3);  MISO: '229' (0xE5)
0.000757160000000,SPI,MOSI: '128' (0x80);  MISO: '192' (0xC0)
0.000767640000000,SPI,MOSI: '174' (0xAE);  MISO: '179' (0xB3)
0.000771360000000,SPI,MOSI: '136' (0x88);  MISO: '144' (0x90)
0.000775880000000,SPI,MOSI: } (0x7D);  MISO: '133' (0x85)
0.000780400000000,SPI,MOSI: ( (0x28);  MISO: '133' (0x85)
0.000784920000000,SPI,MOSI: '12' (0x0C);  MISO: '133' (0x85)
0.000789480000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000794000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000798520000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000803040000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000807600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000812120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000816640000000,SPI,MOSI: '7' (0x07);  MISO: '5' (0x05)
0.000842560000000,SPI,MOSI: '129' (0x81);  MISO: '151' (0x97)
0.000846240000000,SPI,MOSI: '144' (0x90);  MISO: '12' (0x0C)
0.000856760000000,SPI,MOSI: '137' (0x89);  MISO: } (0x7D)
0.000860480000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000870960000000,SPI,MOSI: '165' (0xA5);  MISO: } (0x7D)
0.000874640000000,SPI,MOSI: '134' (0x86);  MISO: '6' (0x06)
