Time [s],Packet ID,MOSI,MISO
-0.000016440000000,0,'135' (0x87),} (0x7D)
-0.000012760000000,0,'230' (0xE6),'230' (0xE6)
-0.000008220000000,0,@ (0x40),' ' (0x20)
-0.000003700000000,0,'0' (0x00),'0' (0x00)
0.000021180000000,1,'129' (0x81),} (0x7D)
0.000024880000000,1,'12' (0x0C),'0' (0x00)
0.000057380000000,2,'184' (0xB8),} (0x7D)
0.000061080000000,2,'5' (0x05),'5' (0x05)
0.000065600000000,2,'0' (0x00),'0' (0x00)
0.000070140000000,2,'0' (0x00),'0' (0x00)
0.000074660000000,2,'0' (0x00),'0' (0x00)
0.000079180000000,2,'4' (0x04),'4' (0x04)
0.000090260000000,3,'128' (0x80),} (0x7D)
0.000093940000000,3,} (0x7D),} (0x7D)
0.000098460000000,3,( (0x28),} (0x7D)
0.000102980000000,3,'12' (0x0C),} (0x7D)
0.000107500000000,3,'2' (0x02),} (0x7D)
0.000730660000000,4,'135' (0x87),'179' (0xB3)
0.000734360000000,4,'228' (0xE4),'230' (0xE6)
0.000738880000000,4,' ' (0x20),@ (0x40)
0.000749380000000,5,'174' (0xAE),'179' (0xB3)
0.000753080000000,5,'136' (0x88),'144' (0x90)
0.000757620000000,5,} (0x7D),'133' (0x85)
0.000762140000000,5,( (0x28),'133' (0x85)
0.000766680000000,5,'12' (0x0C),'133' (0x85)
0.000771220000000,5,'0' (0x00),'0' (0x00)
0.000775760000000,5,'0' (0x00),'0' (0x00)
0.000780280000000,5,'0' (0x00),'0' (0x00)
0.000784820000000,5,'0' (0x00),'0' (0x00)
0.000789340000000,5,'0' (0x00),'0' (0x00)
0.000793880000000,5,'0' (0x00),'0' (0x00)
0.000798420000000,5,'7' (0x07),'5' (0x05)
0.000827400000000,6,'129' (0x81),'0' (0x00)
0.000831100000000,6,'144' (0x90),'12' (0x0C)
0.000841580000000,7,'137' (0x89),} (0x7D)
0.000845280000000,7,'0' (0x00),'0' (0x00)
0.000855760000000,8,'165' (0xA5),} (0x7D)
0.000859460000000,8,'134' (0x86),'6' (0x06)
0.009802060000000,9,'129' (0x81),} (0x7D)
0.009805760000000,9,'0' (0x00),'144' (0x90)
0.009810300000000,9,'0' (0x00),'0' (0x00)
0.009814820000000,9,'0' (0x00),'0' (0x00)
0.009819360000000,9,'210' (0xD2),'210' (0xD2)
0.009823880000000,9,'14' (0x0E),'14' (0x0E)
0.009828420000000,9,E (0x45),E (0x45)
0.009832940000000,9,'230' (0xE6),'228' (0xE4)
0.009837480000000,9,@ (0x40),' ' (0x20)
0.009842000000000,9,'0' (0x00),'0' (0x00)
0.009852500000000,10,'165' (0xA5),} (0x7D)
0.009856180000000,10,'6' (0x06),'134' (0x86)
0.009866680000000,11,'174' (0xAE),} (0x7D)
0.009871320000000,12,'8' (0x08),'135' (0x87)
0.009875860000000,12,X (0x58),'210' (0xD2)
0.009880860000000,13,a (0x61),'3' (0x03)
0.009885400000000,13,@ (0x40),'0' (0x00)
0.009889920000000,13,'0' (0x00),'0' (0x00)
0.009894460000000,13,'0' (0x00),'0' (0x00)
0.009898980000000,13,'0' (0x00),'0' (0x00)
0.009903520000000,13,'0' (0x00),'0' (0x00)
0.009908040000000,13,'0' (0x00),'0' (0x00)
0.009912580000000,13,'1' (0x01),'1' (0x01)
0.009992040000000,14,'135' (0x87),} (0x7D)
