Time [s], Analyzer Name, Decoded Protocol Result
0.000001800000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.000005480000000,SPI,MOSI: '12' (0x0C);  MISO: '0' (0x00)
0.000038000000000,SPI,MOSI: '184' (0xB8);  MISO: } (0x7D)
0.000041720000000,SPI,MOSI: '5' (0x05);  MISO: '5' (0x05)
0.000046240000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000050800000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000055320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000059840000000,SPI,MOSI: '4' (0x04);  MISO: '4' (0x04)
0.000070960000000,SPI,MOSI: '128' (0x80);  MISO: } (0x7D)
0.000074640000000,SPI,MOSI: } (0x7D);  MISO: } (0x7D)
0.000079200000000,SPI,MOSI: ( (0x28);  MISO: } (0x7D)
0.000083720000000,SPI,MOSI: '12' (0x0C);  MISO: } (0x7D)
0.000088240000000,SPI,MOSI: \n (0x0A);  MISO: } (0x7D)
0.000092760000000,SPI,MOSI: '187' (0xBB);  MISO: } (0x7D)
0.000711480000000,SPI,MOSI: '135' (0x87);  MISO: '187' (0xBB)
0.000715160000000,SPI,MOSI: '230' (0xE6);  MISO: '227' (0xE3)
0.000719680000000,SPI,MOSI: ' ' (0x20);  MISO: @ (0x40)
0.000730200000000,SPI,MOSI: '174' (0xAE);  MISO: '151' (0x97)
0.000733920000000,SPI,MOSI: '136' (0x88);  MISO: '144' (0x90)
0.000738440000000,SPI,MOSI: } (0x7D);  MISO: '133' (0x85)
0.000742960000000,SPI,MOSI: ( (0x28);  MISO: '133' (0x85)
0.000747480000000,SPI,MOSI: '12' (0x0C);  MISO: '133' (0x85)
0.000752040000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000756560000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000761120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000765640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000770160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000774720000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000779240000000,SPI,MOSI: '7' (0x07);  MISO: '5' (0x05)
0.000792720000000,SPI,MOSI: '129' (0x81);  MISO: '151' (0x97)
0.000796400000000,SPI,MOSI: '144' (0x90);  MISO: '12' (0x0C)
0.000806920000000,SPI,MOSI: '137' (0x89);  MISO: } (0x7D)
0.000810600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000821080000000,SPI,MOSI: '165' (0xA5);  MISO: } (0x7D)
0.000824800000000,SPI,MOSI: '134' (0x86);  MISO: '6' (0x06)
0.009792320000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.009796040000000,SPI,MOSI: '0' (0x00);  MISO: '144' (0x90)
0.009800560000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009805080000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.009809640000000,SPI,MOSI: '210' (0xD2);  MISO: '210' (0xD2)
0.009814160000000,SPI,MOSI: '14' (0x0E);  MISO: '14' (0x0E)
0.009818680000000,SPI,MOSI: E (0x45);  MISO: E (0x45)
0.009823240000000,SPI,MOSI: '227' (0xE3);  MISO: '230' (0xE6)
0.009827760000000,SPI,MOSI: @ (0x40);  MISO: ' ' (0x20)
0.009832280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
